,Month,Day,Community Area,Domestic,Arrest,Location Description_RESIDENCE,Location Description_STREET,Primary Type_BATTERY,Primary Type_THEFT,SocioEconomic-Status_Low Income,SocioEconomic-Status_Moderate Income
113560,2,5,25,False,False,0,1,1,0,0,1
106960,2,3,34,False,False,0,1,0,1,0,0
478651,6,5,24,True,False,1,0,1,0,1,0
255842,3,26,27,False,False,0,1,1,0,0,0
553866,6,27,6,False,False,0,1,0,0,1,0
1151419,12,22,71,True,False,1,0,1,0,0,1
1112344,12,9,69,False,False,0,1,1,0,0,1
226822,3,16,48,False,False,0,1,0,1,0,1
144814,2,16,25,False,False,0,1,0,1,0,1
1148101,12,21,1,True,False,0,0,1,0,0,1
884003,9,30,25,True,False,1,0,0,0,0,1
909825,10,7,13,False,False,0,1,0,0,0,1
208008,3,10,69,False,False,0,0,0,0,0,1
611478,7,13,36,False,False,0,0,0,0,0,0
547564,6,25,25,True,False,0,1,1,0,0,1
355154,4,29,3,False,False,0,1,0,0,0,1
1144246,12,20,70,False,False,0,1,1,0,0,1
754574,8,23,1,False,False,1,0,0,1,0,1
854859,9,21,71,True,False,0,1,0,0,0,1
622534,7,17,3,False,False,0,1,0,1,0,1
338040,4,23,67,False,False,0,1,0,0,0,0
416212,5,18,64,False,False,0,1,0,1,1,0
74348,1,23,60,False,False,0,1,0,1,0,1
284023,4,5,7,False,False,0,1,0,1,1,0
174510,2,27,67,False,False,0,0,0,1,0,0
726964,8,15,43,True,False,0,0,1,0,0,1
348872,4,27,26,True,False,0,1,1,0,0,0
1094255,12,4,21,False,False,0,1,0,1,0,1
640997,7,22,73,False,False,0,1,0,1,0,1
1151504,12,22,43,False,False,0,0,0,0,0,1
152534,2,19,20,True,False,0,0,1,0,0,1
292915,4,8,16,False,False,0,1,0,1,0,1
435117,5,24,28,False,False,0,0,0,1,0,1
787722,9,1,41,True,False,0,0,1,0,1,0
40186,1,11,49,False,False,0,1,0,1,0,1
115030,2,6,49,False,False,0,0,0,0,0,1
753030,8,23,68,False,False,1,0,0,0,0,0
356105,4,29,44,True,False,0,0,1,0,0,1
1135227,12,17,35,False,False,0,1,0,1,0,1
566626,7,1,25,False,False,1,0,1,0,0,1
285421,4,5,72,False,False,0,1,0,1,1,0
716984,8,12,25,False,False,0,1,1,0,0,1
403512,5,15,21,False,False,1,0,1,0,0,1
468637,6,2,49,False,False,0,0,0,1,0,1
953224,10,20,41,False,False,0,1,0,1,1,0
962695,10,23,1,False,False,1,0,0,0,0,1
874059,9,27,8,False,False,0,1,0,1,1,0
601649,7,10,15,True,False,1,0,1,0,0,1
19636,1,6,67,True,False,0,0,1,0,0,0
1005271,11,5,46,True,False,0,0,1,0,0,0
320116,4,17,70,True,False,1,0,1,0,0,1
1116322,12,11,25,True,False,1,0,1,0,0,1
1150207,12,22,19,False,False,0,1,0,1,0,1
728753,8,16,33,False,False,0,1,0,1,1,0
